xflr5 v6.61

Plane name :, 3D analysis
Polar name :, T1-19.2 m/s-LLT
Freestream speed :, 19.2 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.000,     0.000,  -0.233820,   0.003517,   0.014871,   0.018388,   0.000000,   0.000000,   0.013501,   0.000000,   0.000000,   19.2000,    0.0078
   -4.000,     0.000,  -0.160380,   0.001682,   0.011548,   0.013229,   0.000000,   0.000000,  -0.004334,   0.000000,   0.000000,   19.2000,   -0.0058
   -3.000,     0.000,  -0.098807,   0.000640,   0.010136,   0.010776,   0.000000,   0.000000,  -0.014011,   0.000000,   0.000000,   19.2000,   -0.0247
   -2.000,     0.000,  -0.030813,   0.000065,   0.010262,   0.010327,   0.000000,   0.000000,  -0.025590,   0.000000,   0.000000,   19.2000,    0.0456
   -1.000,     0.000,   0.050984,   0.000157,   0.010535,   0.010692,   0.000000,  -0.000000,  -0.044964,   0.000000,   0.000000,   19.2000,    0.2327
    0.000,     0.000,   0.154974,   0.001477,   0.010645,   0.012121,   0.000000,  -0.000000,  -0.077248,   0.000000,   0.000000,   19.2000,    0.0825
    1.000,     0.000,   0.260712,   0.004205,   0.010480,   0.014685,   0.000000,  -0.000000,  -0.111617,   0.000000,   0.000000,   19.2000,    0.0691
    2.000,     0.000,   0.350398,   0.007682,   0.010234,   0.017916,   0.000000,  -0.000000,  -0.138383,   0.000000,   0.000000,   19.2000,    0.0630
    3.000,     0.000,   0.420235,   0.011163,   0.010120,   0.021283,   0.000000,  -0.000000,  -0.154820,   0.000000,   0.000000,   19.2000,    0.0587
    4.000,     0.000,   0.486418,   0.015051,   0.010108,   0.025159,   0.000000,  -0.000000,  -0.168971,   0.000000,   0.000000,   19.2000,    0.0552
    5.000,     0.000,   0.551641,   0.019420,   0.010193,   0.029612,   0.000000,  -0.000000,  -0.182353,   0.000000,   0.000000,   19.2000,    0.0524
    6.000,     0.000,   0.617071,   0.024344,   0.010373,   0.034717,   0.000000,  -0.000000,  -0.195658,   0.000000,   0.000000,   19.2000,    0.0501
    7.000,     0.000,   0.682285,   0.029789,   0.010676,   0.040465,   0.000000,  -0.000000,  -0.208739,   0.000000,   0.000000,   19.2000,    0.0482
    8.000,     0.000,   0.745579,   0.035634,   0.011319,   0.046953,   0.000000,  -0.000000,  -0.221063,   0.000000,  -0.000000,   19.2000,    0.0466
    9.000,     0.000,   0.804586,   0.041619,   0.012681,   0.054300,   0.000000,  -0.000000,  -0.231969,   0.000000,   0.000000,   19.2000,    0.0451
   10.000,     0.000,   0.858780,   0.047632,   0.014899,   0.062531,   0.000000,  -0.000000,  -0.241361,   0.000000,  -0.000000,   19.2000,    0.0438
   11.000,     0.000,   0.905188,   0.053274,   0.018139,   0.071412,   0.000000,  -0.000000,  -0.247508,   0.000000,   0.000000,   19.2000,    0.0425
   12.000,     0.000,   0.950928,   0.059055,   0.021883,   0.080938,   0.000000,  -0.000000,  -0.253533,   0.000000,   0.000000,   19.2000,    0.0412
   13.000,     0.000,   1.000611,   0.065458,   0.026661,   0.092119,   0.000000,  -0.000000,  -0.261556,   0.000000,   0.000000,   19.2000,    0.0402
