xflr5 v6.61

SD6060-104-88_180
Reynolds =,  200000,Mach =,    0,NCrit =, 9.0
  Alpha        Cd        Cl        Cm        XTr1      XTr2   TEHMom    Cpmn
 -5.000,    0.020, -0.362, -0.041,  0.966,  0.027, 0.0000,-3.3255
Cpi,Cpv
 0.2573, 0.1485
 0.2556, 0.1302
 0.2348, 0.0912
 0.2121, 0.0429
 0.1938, 0.0061
 0.1789, 0.0044
 0.1636, 0.0028
 0.1481, 0.0014
 0.1335,-0.0001
 0.1199,-0.0015
 0.1066,-0.0029
 0.0939,-0.0044
 0.0815,-0.0060
 0.0693,-0.0077
 0.0573,-0.0096
 0.0456,-0.0117
 0.0342,-0.0141
 0.0234,-0.0168
 0.0129,-0.0199
 0.0027,-0.0234
-0.0072,-0.0274
-0.0167,-0.0319
-0.0259,-0.0368
-0.0350,-0.0422
-0.0439,-0.0480
-0.0524,-0.0544
-0.0607,-0.0613
-0.0684,-0.0686
-0.0756,-0.0762
-0.0825,-0.0839
-0.0891,-0.0917
-0.0957,-0.0994
-0.1022,-0.1071
-0.1086,-0.1147
-0.1151,-0.1221
-0.1219,-0.1294
-0.1288,-0.1365
-0.1354,-0.1433
-0.1415,-0.1495
-0.1467,-0.1550
-0.1508,-0.1598
-0.1542,-0.1639
-0.1568,-0.1672
-0.1585,-0.1696
-0.1592,-0.1712
-0.1593,-0.1721
-0.1586,-0.1722
-0.1572,-0.1715
-0.1551,-0.1702
-0.1523,-0.1682
-0.1490,-0.1655
-0.1450,-0.1622
-0.1404,-0.1583
-0.1351,-0.1537
-0.1293,-0.1485
-0.1227,-0.1427
-0.1156,-0.1362
-0.1078,-0.1291
-0.0995,-0.1214
-0.0907,-0.1131
-0.0809,-0.1039
-0.0702,-0.0938
-0.0585,-0.0827
-0.0455,-0.0703
-0.0311,-0.0566
-0.0153,-0.0415
 0.0021,-0.0247
 0.0217,-0.0060
 0.0433, 0.0148
 0.0675, 0.0381
 0.0948, 0.0644
 0.1253, 0.0940
 0.1599, 0.1276
 0.1998, 0.1662
 0.2452, 0.2105
 0.2984, 0.2623
 0.3599, 0.3226
 0.4320, 0.3933
 0.5162, 0.4767
 0.6141, 0.5735
 0.7201, 0.6803
 0.8270, 0.7897
 0.9240, 0.8943
 0.9871, 0.9700
 0.9963, 0.9999
 0.9300, 0.9683
 0.7457, 0.8443
 0.4169, 0.5966
-0.1027, 0.2003
-0.9507,-0.4452
-2.2500,-1.4051
-4.0343,-2.6299
-5.2146,-3.3255
-4.9276,-3.0744
-4.1465,-2.7338
-3.2732,-2.5553
-2.7062,-2.4629
-2.4619,-2.3970
-2.1596,-2.3474
-1.9028,-2.3094
-1.6950,-2.2726
-1.4926,-1.8352
-1.3174,-1.3714
-1.1779,-1.1217
-1.0777,-0.9923
-0.9912,-0.9049
-0.9191,-0.8398
-0.8566,-0.7870
-0.8045,-0.7429
-0.7605,-0.7049
-0.7213,-0.6710
-0.6866,-0.6406
-0.6555,-0.6130
-0.6271,-0.5878
-0.6015,-0.5648
-0.5781,-0.5436
-0.5564,-0.5239
-0.5367,-0.5058
-0.5188,-0.4891
-0.5020,-0.4735
-0.4863,-0.4588
-0.4715,-0.4450
-0.4574,-0.4318
-0.4441,-0.4192
-0.4314,-0.4073
-0.4195,-0.3959
-0.4082,-0.3851
-0.3973,-0.3746
-0.3868,-0.3645
-0.3767,-0.3548
-0.3669,-0.3453
-0.3574,-0.3361
-0.3482,-0.3271
-0.3393,-0.3184
-0.3306,-0.3098
-0.3222,-0.3013
-0.3136,-0.2929
-0.3050,-0.2844
-0.2963,-0.2760
-0.2877,-0.2676
-0.2793,-0.2592
-0.2710,-0.2509
-0.2628,-0.2426
-0.2546,-0.2343
-0.2462,-0.2258
-0.2375,-0.2171
-0.2284,-0.2083
-0.2193,-0.1993
-0.2099,-0.1901
-0.2004,-0.1808
-0.1908,-0.1713
-0.1809,-0.1617
-0.1707,-0.1518
-0.1601,-0.1417
-0.1492,-0.1313
-0.1380,-0.1208
-0.1266,-0.1101
