  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	     rpm	     rho	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
       1	 12:08:15	  -4.000	  111.19	 1011.20	   22.16	  799.37	   1.193	  -11.21	  187.87	  201.00	  114.34	   45.99	   16.79	   -0.13	  -24.12	  -31.42	  -39.09	  -28.32	  -42.80	  -45.86	  -44.14	  -37.98	  -33.76	  -27.13	  -21.97	  -15.96	  -11.62	   -8.01	   -4.95	   -3.67	   12.38	   20.44	  -11.33	 -420.38	 -285.81	 -206.42	 -159.50	 -120.97	  -96.71	  -81.49	  -73.30	  -66.41	  -60.23	  -54.91	  -49.98	  -44.48	  -39.46	  -34.60	  -29.22	  -23.45	  -16.70	  -10.23	   -2.40	    5.42	   13.75	   20.44	  232.37	  231.32	  233.28	  234.25	  232.65	  231.79	  234.33	  232.53	  234.04	  233.68	  232.33	  233.03	  233.46	  232.85	  233.00	  233.22	  233.46	  230.61	  218.75	  200.96	  187.50	  192.40	  203.59	  219.71	  225.72	  233.26	  232.61	  230.03	  230.77	  232.66	  232.81	  232.57	  231.92	  232.71	  232.08	  232.06	  232.40	  231.82	  231.59	  232.64	  232.11	  231.38	  232.11	  231.57	  232.61	  231.76	  232.82	  231.47	   12.38	   11.46	   12.21	   12.07	   11.98	   13.08	   12.45	   12.81	   13.42	   12.91	   12.88	   10.60	    0.26	    0.10	    0.17	    0.22
       2	 12:08:42	  -3.000	  111.74	 1011.21	   22.19	  800.04	   1.193	   66.34	  185.49	  181.43	   90.02	   24.49	   -2.24	  -13.01	  -38.86	  -43.96	  -52.12	  -37.68	  -51.78	  -53.29	  -50.93	  -44.28	  -38.89	  -32.64	  -26.35	  -20.21	  -16.43	  -13.89	  -10.92	   -7.79	   21.35	   17.32	   64.50	 -293.45	 -222.93	 -161.96	 -124.33	 -101.63	  -86.49	  -75.55	  -67.90	  -61.61	  -55.86	  -51.03	  -46.95	  -42.36	  -38.61	  -34.54	  -29.85	  -23.43	  -15.01	   -7.40	    1.00	    8.75	   16.67	   17.32	  232.60	  231.39	  233.36	  234.40	  232.96	  232.03	  234.49	  232.54	  234.27	  233.74	  232.31	  233.18	  233.71	  233.13	  233.00	  233.07	  231.96	  224.59	  209.27	  198.41	  199.46	  210.77	  218.61	  228.96	  229.71	  234.24	  232.84	  230.09	  230.98	  232.88	  232.85	  232.56	  233.51	  233.93	  233.47	  233.52	  233.86	  233.70	  233.20	  234.09	  233.44	  233.24	  233.62	  233.14	  234.12	  233.35	  234.44	  233.05	   12.15	   11.70	   12.44	   12.24	   12.08	   13.19	   12.69	   12.84	   13.22	   12.68	   12.68	   10.91	    0.22	    0.09	    0.20	    0.29
       3	 12:09:20	  -2.000	  110.45	 1011.23	   22.23	  799.75	   1.193	  138.43	  180.29	  155.29	   61.65	    4.35	  -21.80	  -29.92	  -53.38	  -55.62	  -61.82	  -48.40	  -60.00	  -60.08	  -58.01	  -50.39	  -43.35	  -37.45	  -29.94	  -25.02	  -21.64	  -19.49	  -16.15	    8.41	   26.28	   16.75	  137.27	 -171.54	 -155.97	 -121.75	  -97.99	  -81.33	  -70.42	  -61.16	  -55.39	  -50.64	  -46.02	  -41.98	  -38.69	  -34.58	  -31.17	  -27.49	  -23.78	  -19.94	  -15.89	  -12.88	   -8.69	   -1.82	   11.28	   16.75	  231.62	  230.50	  232.43	  233.49	  231.85	  230.91	  233.54	  231.66	  233.30	  232.72	  232.16	  232.15	  233.09	  232.09	  231.58	  229.40	  223.92	  213.76	  202.99	  202.69	  209.70	  220.28	  224.53	  231.10	  229.69	  233.45	  231.52	  229.32	  230.09	  232.01	  232.01	  231.68	  230.55	  231.11	  230.73	  230.46	  231.01	  230.94	  230.15	  231.26	  230.72	  230.67	  230.75	  230.36	  231.11	  230.42	  231.53	  230.19	   11.71	   11.79	   12.48	   12.16	   10.64	   12.96	   12.50	   12.44	   12.97	   12.30	   12.26	   11.04	   -0.19	    0.06	    0.15	    0.23
       4	 12:09:46	  -1.000	  111.77	 1011.23	   22.25	  799.87	   1.193	  192.29	  164.18	  125.33	   32.83	  -18.90	  -43.00	  -48.94	  -67.10	  -70.67	  -71.59	  -58.93	  -68.62	  -67.78	  -63.46	  -54.91	  -48.36	  -42.98	  -35.97	  -32.60	  -28.30	  -26.81	   -7.88	   17.59	   26.50	   20.09	  190.31	  -67.29	  -96.54	  -84.89	  -73.43	  -63.31	  -55.36	  -48.72	  -44.49	  -41.09	  -37.61	  -34.52	  -32.24	  -28.65	  -25.79	  -22.46	  -18.83	  -14.90	  -10.71	   -7.47	   -3.67	   -1.12	    1.51	   20.09	  232.65	  231.22	  233.17	  234.19	  232.66	  231.61	  234.25	  232.41	  234.16	  233.46	  232.99	  232.84	  233.84	  232.06	  229.61	  222.70	  213.15	  207.04	  205.74	  212.63	  220.17	  227.80	  228.79	  232.72	  230.64	  234.20	  231.99	  229.93	  230.77	  232.65	  232.51	  232.48	  234.37	  233.20	  233.86	  233.74	  234.25	  234.25	  233.67	  234.41	  233.91	  234.14	  234.10	  233.42	  234.63	  233.82	  234.72	  233.40	   11.76	   12.25	   12.94	   11.82	   11.44	   13.31	   13.01	   12.69	   13.12	   12.44	   12.37	   11.64	    0.04	    0.10	    0.19	    0.24
       5	 12:10:08	  -0.000	  110.89	 1011.24	   22.28	  799.97	   1.192	  218.86	  142.69	   89.31	    0.09	  -44.66	  -64.96	  -66.80	  -81.67	  -83.76	  -82.33	  -69.94	  -78.68	  -75.70	  -70.18	  -61.07	  -55.16	  -48.63	  -42.93	  -40.25	  -37.09	  -35.17	    0.71	   15.16	   23.15	   27.71	  217.18	   19.02	  -37.75	  -48.29	  -46.88	  -43.10	  -38.42	  -34.34	  -31.73	  -29.67	  -27.41	  -25.24	  -23.60	  -20.77	  -18.35	  -15.63	  -12.38	   -8.58	   -4.45	   -1.00	    3.00	    5.77	    8.01	   27.71	  231.33	  229.93	  231.80	  232.87	  231.12	  230.34	  232.85	  231.08	  232.80	  232.03	  231.39	  231.37	  231.21	  226.97	  220.45	  210.30	  203.48	  205.13	  211.23	  220.03	  225.63	  230.23	  229.06	  231.70	  229.27	  232.64	  230.80	  228.70	  229.35	  231.31	  231.20	  231.15	  234.29	  233.24	  233.64	  233.40	  234.06	  234.01	  233.37	  234.20	  233.62	  233.78	  233.86	  233.22	  234.41	  233.48	  234.39	  233.09	   11.33	   12.60	   13.22	   11.67	   10.56	   13.31	   13.17	   12.63	   12.82	   12.04	   11.98	   12.09	   -0.02	    0.10	    0.23	    0.25
       6	 12:10:32	   1.000	  109.90	 1011.22	   22.31	  800.29	   1.192	  228.88	  103.90	   37.91	  -44.34	  -80.30	  -93.43	  -90.59	 -103.19	 -103.33	  -98.84	  -84.83	  -92.97	  -90.27	  -81.74	  -72.07	  -64.85	  -58.95	  -55.49	  -52.33	  -49.83	  -37.43	    0.50	    9.60	   17.48	   23.15	  227.64	  107.21	   24.21	   -6.05	  -16.69	  -19.52	  -19.37	  -18.07	  -17.28	  -16.79	  -15.63	  -14.40	  -13.62	  -11.70	   -9.83	   -7.72	   -4.88	   -1.32	    2.91	    6.48	   10.87	   13.93	   16.22	   23.15	  232.81	  231.19	  233.19	  234.22	  232.72	  231.68	  234.30	  232.51	  234.03	  233.53	  232.82	  232.92	  233.92	  232.87	  232.52	  233.08	  233.89	  233.80	  233.14	  233.74	  231.78	  227.93	  218.73	  215.90	  211.37	  210.82	  210.56	  212.00	  218.62	  226.68	  230.44	  231.64	  231.42	  232.04	  230.98	  230.55	  230.89	  231.31	  230.66	  231.42	  230.95	  230.85	  231.06	  230.59	  231.64	  230.80	  231.74	  230.47	   10.81	   12.56	   13.17	   12.64	   12.19	   12.44	   12.69	   12.26	   12.48	   11.61	   11.52	   12.14	   -0.35	    0.06	    0.21	    0.24
       7	 12:11:02	   2.000	  111.04	 1011.18	   22.33	  799.83	   1.192	  224.86	   72.25	    2.60	  -72.18	 -101.31	 -109.80	 -104.21	 -114.87	 -113.04	 -107.57	  -93.65	 -100.00	  -96.44	  -87.05	  -76.84	  -69.35	  -64.25	  -61.62	  -58.08	  -55.74	  -20.33	    0.47	    8.16	   16.90	   26.06	  223.80	  147.95	   57.13	   15.71	   -0.69	   -6.67	   -8.61	   -9.24	   -9.53	   -9.98	   -9.60	   -9.03	   -9.02	   -7.48	   -6.18	   -4.57	   -2.34	    0.70	    4.58	    7.95	   12.40	   15.94	   18.88	   26.06	  233.22	  231.60	  233.67	  234.78	  233.59	  232.04	  234.67	  232.71	  234.42	  233.78	  233.24	  233.39	  234.18	  233.26	  232.83	  233.34	  234.04	  233.98	  233.43	  233.15	  224.81	  211.44	  198.18	  200.40	  206.66	  222.26	  228.42	  229.46	  231.04	  232.89	  232.82	  232.81	  233.21	  232.03	  232.61	  232.24	  233.02	  232.91	  232.31	  233.29	  232.50	  232.66	  232.83	  232.47	  233.01	  232.40	  233.48	  232.18	   10.85	   13.15	   13.75	   13.14	   12.52	   12.70	   12.94	   12.49	   12.66	   11.68	   11.55	   12.87	   -0.21	    0.04	    0.20	    0.23
       8	 12:11:27	   3.000	  110.13	 1011.21	   22.36	  799.82	   1.192	  183.72	   -4.87	  -70.22	 -126.10	 -141.23	 -141.58	 -129.91	 -138.28	 -130.11	 -122.90	 -106.00	 -110.95	 -106.17	  -96.44	  -84.69	  -80.68	  -75.18	  -72.61	  -70.86	  -24.89	   -9.77	   -1.66	    6.50	   16.44	   30.79	  181.85	  204.90	  114.75	   56.25	   30.00	   17.87	   11.80	    8.58	    6.30	    4.16	    2.96	    2.17	    1.29	    1.57	    1.66	    2.35	    3.43	    5.49	    8.36	   10.98	   15.09	   18.82	   22.55	   30.79	  231.90	  230.47	  232.20	  233.53	  232.26	  230.91	  233.39	  231.50	  233.13	  232.57	  231.94	  232.03	  232.95	  232.06	  231.52	  231.94	  232.86	  232.88	  231.28	  223.57	  203.63	  195.71	  198.62	  212.87	  220.66	  231.31	  231.01	  229.01	  229.72	  231.73	  231.49	  231.42	  230.61	  231.04	  230.41	  229.93	  230.15	  230.49	  230.10	  231.11	  230.21	  229.90	  230.31	  230.09	  230.74	  230.04	  231.21	  229.65	   10.61	   13.56	   14.15	   13.47	   12.77	   12.88	   13.12	   12.80	   12.51	   11.54	   11.44	   13.39	   -0.11	    0.09	    0.20	    0.25
       9	 12:11:49	   4.000	  110.12	 1011.17	   22.38	  800.12	   1.192	  117.62	  -56.30	 -122.83	 -165.30	 -170.24	 -164.81	 -148.92	 -153.71	 -143.93	 -133.98	 -115.67	 -120.15	 -113.60	 -102.91	  -93.28	  -88.90	  -84.38	  -82.73	  -55.53	  -21.19	  -13.88	   -4.21	    5.03	   16.11	   31.31	  116.32	  220.48	  145.01	   81.03	   47.87	   32.50	   24.36	   19.52	   16.15	   12.93	   10.87	    9.37	    7.79	    7.51	    6.93	    7.05	    7.65	    9.13	   11.55	   13.70	   17.42	   20.91	   24.65	   31.31	  233.81	  232.14	  234.01	  234.84	  233.99	  232.39	  234.97	  233.10	  234.80	  234.30	  233.59	  233.67	  234.60	  233.78	  233.23	  233.61	  234.45	  233.79	  225.94	  208.59	  196.92	  201.41	  211.00	  224.59	  228.50	  234.36	  233.02	  230.62	  231.54	  233.34	  233.16	  233.02	  230.97	  232.85	  230.66	  230.36	  230.38	  230.73	  230.20	  231.17	  230.43	  230.08	  230.63	  230.39	  230.88	  230.15	  231.43	  229.96	   10.14	   13.68	   14.27	   13.45	   12.52	   12.88	   12.73	   12.46	   12.17	   11.10	   10.99	   13.60	   -0.24	    0.08	    0.19	    0.22
