  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	      Fx	      Fy	      Fz	     rpm	     Rho
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	       N	       N	       N	   1/min	  kg/m^3
       1	 12:57:52	  -5.000	  111.33	 1010.64	   22.82	   0.477	  -3.379	  -0.365	   800.3	   1.190
       2	 12:58:32	  -4.000	  111.69	 1010.61	   22.89	   0.413	  -2.311	  -0.359	   800.1	   1.189
       3	 12:59:33	  -3.000	  110.40	 1010.58	   22.92	   0.362	  -1.468	  -0.349	   799.8	   1.189
       4	 12:59:56	  -2.000	  113.55	 1010.57	   22.93	   0.364	  -0.575	  -0.339	   800.1	   1.189
       5	 13:00:13	  -1.000	  110.76	 1010.54	   22.93	   0.364	   0.303	  -0.332	   799.0	   1.189
       6	 13:00:38	   0.000	  111.52	 1010.54	   22.94	   0.386	   1.518	  -0.319	   800.3	   1.189
       7	 13:00:58	   1.000	  111.84	 1010.52	   22.95	   0.409	   2.957	  -0.306	   799.6	   1.189
       8	 13:01:15	   2.000	  111.50	 1010.59	   22.95	   0.447	   3.979	  -0.297	   799.9	   1.189
       9	 13:01:38	   3.000	  111.66	 1010.57	   22.96	   0.493	   4.965	  -0.292	   799.8	   1.189
      10	 13:01:54	   4.000	  110.64	 1010.58	   22.98	   0.541	   5.939	  -0.293	   799.6	   1.189
      11	 13:02:05	   5.000	  111.77	 1010.58	   22.99	   0.611	   7.006	  -0.297	   799.5	   1.189
      12	 13:02:16	   6.000	  110.27	 1010.54	   23.01	   0.679	   8.062	  -0.300	   799.9	   1.189
      13	 13:03:14	   7.000	  111.60	 1010.61	   23.07	   0.759	   9.116	  -0.307	   800.0	   1.189
      14	 13:03:27	   8.000	  111.33	 1010.60	   23.08	   0.855	  10.112	  -0.315	   799.9	   1.188
      15	 13:03:48	   8.500	  110.08	 1010.62	   23.09	   0.908	  10.607	  -0.319	   799.5	   1.188
      16	 13:04:10	   9.000	  109.65	 1010.61	   23.10	   0.963	  10.962	  -0.328	   799.8	   1.188
      17	 13:04:22	  10.000	  108.40	 1010.62	   23.12	   1.073	  11.715	  -0.341	   799.9	   1.188
      18	 13:04:40	  11.000	  111.10	 1010.60	   23.13	   1.225	  12.669	  -0.360	   800.0	   1.188
      19	 13:04:51	  12.000	  110.76	 1010.61	   23.13	   1.368	  13.185	  -0.384	   799.9	   1.188
      20	 13:05:12	  13.000	  109.79	 1010.63	   23.14	   1.521	  13.595	  -0.405	   799.9	   1.188
      21	 13:05:31	  14.000	  110.76	 1010.60	   23.15	   1.732	  13.708	  -0.420	   800.4	   1.188
      22	 13:05:49	  14.500	  109.96	 1010.62	   23.16	   1.855	  13.582	  -0.429	   800.3	   1.188
      23	 13:06:03	  15.000	  109.56	 1010.62	   23.18	   2.952	  13.362	  -0.375	   799.8	   1.188
      24	 13:06:19	  15.500	  110.40	 1010.61	   23.19	   3.262	  12.819	  -0.361	   800.1	   1.188
      25	 13:06:32	  16.000	  108.21	 1010.61	   23.19	   3.433	  11.999	  -0.359	   799.9	   1.188
      26	 13:06:50	  16.500	  109.62	 1010.61	   23.21	   3.625	  11.849	  -0.370	   799.8	   1.188
      27	 13:07:03	  17.000	  108.67	 1010.64	   23.21	   3.695	  11.332	  -0.385	   800.0	   1.188
      28	 13:08:29	  16.500	  108.66	 1010.59	   23.27	   3.602	  11.749	  -0.375	   800.0	   1.188
      29	 13:08:58	  16.000	  110.42	 1010.62	   23.26	   3.470	  12.210	  -0.365	   799.7	   1.188
      30	 13:09:21	  15.500	  108.07	 1010.58	   23.27	   3.235	  12.660	  -0.366	   800.0	   1.188
      31	 13:09:41	  15.000	  111.47	 1010.57	   23.27	   2.853	  13.143	  -0.373	   799.8	   1.188
      32	 13:09:53	  14.500	  110.85	 1010.57	   23.28	   1.875	  13.747	  -0.429	   800.1	   1.188
      33	 13:10:06	  14.000	  109.86	 1010.58	   23.28	   1.716	  13.573	  -0.421	   800.3	   1.188
      34	 13:10:31	  13.500	  110.14	 1010.56	   23.30	   1.599	  13.556	  -0.414	   800.0	   1.188
      35	 13:10:53	  13.000	  109.59	 1010.53	   23.28	   1.508	  13.415	  -0.405	   799.9	   1.188
      36	 13:11:05	  12.500	  110.64	 1010.52	   23.28	   1.447	  13.458	  -0.392	   800.3	   1.188
      37	 13:11:21	  12.000	  112.17	 1010.51	   23.28	   1.372	  13.222	  -0.385	   800.1	   1.188
      38	 13:11:34	  11.000	  110.63	 1010.51	   23.28	   1.223	  12.616	  -0.361	   800.2	   1.188
      39	 13:11:51	  10.000	  110.14	 1010.51	   23.29	   1.093	  11.968	  -0.341	   799.5	   1.188
